"id","fqdn/ip","port","severity","finding","cve","cwe"
"intermediate_cert_expiration <#2>","connect.gouv.nc/61.5.212.17","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","connect.gouv.nc/61.5.212.17","443","INFO","ISRG Root X1 <-- DST Root CA X3","",""
"intermediate_cert_badOCSP","connect.gouv.nc/61.5.212.17","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","connect.gouv.nc/61.5.212.17","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","connect.gouv.nc/61.5.212.17","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","connect.gouv.nc/61.5.212.17","443","INFO","1691037383","",""
"HSTS","connect.gouv.nc/61.5.212.17","443","LOW","not offered","",""
"HPKP","connect.gouv.nc/61.5.212.17","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","connect.gouv.nc/61.5.212.17","443","INFO","nginx","",""
"banner_application","connect.gouv.nc/61.5.212.17","443","INFO","No application banner found","",""
"cookie_count","connect.gouv.nc/61.5.212.17","443","INFO","0 at '/'","",""
"security_headers","connect.gouv.nc/61.5.212.17","443","MEDIUM","--","",""
"banner_reverseproxy","connect.gouv.nc/61.5.212.17","443","INFO","--","","CWE-200"
"heartbleed","connect.gouv.nc/61.5.212.17","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","connect.gouv.nc/61.5.212.17","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","connect.gouv.nc/61.5.212.17","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","connect.gouv.nc/61.5.212.17","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","connect.gouv.nc/61.5.212.17","443","OK","supported","","CWE-310"
"secure_client_renego","connect.gouv.nc/61.5.212.17","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","connect.gouv.nc/61.5.212.17","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","connect.gouv.nc/61.5.212.17","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","connect.gouv.nc/61.5.212.17","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","connect.gouv.nc/61.5.212.17","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","connect.gouv.nc/61.5.212.17","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","connect.gouv.nc/61.5.212.17","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","connect.gouv.nc/61.5.212.17","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
